# Author: Minori Olguin
# Student ID: 3441333
# Title: locations.txt
# Format: location_name|description|exits (comma-separated)|conditions (optional)|characters (optional, comma-separated)|items (optional, comma-separated)

Above Rabbit Hole|You find yourself standing at the base of a tree that towers over you. You take a closer look at the base of the tree, and you see a small partially hidden rabbit hole. Whoosh! You see a White Rabbit quickly hop by... did the Rabbit just say something? You shout "Wait!", the Rabbit continues on its way down the rabbit hole.|south=Rabbit Hole,southwest=Field of Daisies,west=Riverbank|||

Riverbank|You find yourself on a serene riverbank with gentle flowing water and lush greenery. On the ground beside you, there's a book with no pictures lying open on the ground... All around you, you can hear birds chirping and the rustling of leaves. To your east is a large tree casting a long shadow. To you south you see a large field of white coloured flowers.|south=Field of Daisies,east=Above Rabbit Hole|||book

Field of Daisies|You are now standing in the middle of a vibrant field filled with white and yellow daisies swaying gently in the breeze. The air is filled with the scent of flowers. You think to yourself, how lovely it would be to make a daisy bouquet.|north=Riverbank,northeast=Above Rabbit Hole|||daisies

Rabbit Hole|You fall down, \ninto the rabbit hole, \n...\nfather \nand \nfarther \ndown, \nwondering \nwhen \nthe \nfall \nwill \nstop\n... \n...\n...\n...\n...\n...\n...\n...\n...\n...\n...\n...\nPlop! You gently land on your bottom, you stand up to see where you are.\n|down=Room Full of Doors|||

Room Full of Doors|You find yourself within a small, strange room with many doors. You see 3 doors, the first door is unlabeled, the second door reads, 'Enter', the third door reads, 'Madness ahead'. Behind you, a side table appears out of the blue. On it, a small bottle labeled, "unknown" sits on the top, to its left lies a cake. Beside door 2 there appears to be a lamp.\n\nHint: type 'enter door ' followed by the door number to enter a door.|door_1=Return to Above Ground,door_2=Dark Grassy Path,door_3=Path to March Hare's House|unlocked||bottle,cake,lamp

Path to March Hare's House|You find yourself on a winding dirt path with trees arching overhead. Strange mushrooms grow along the edges of the path. Farther down the path to the southeast, you see a shadow, could that be some sort of building?, you wonder...|southeast=House of the March Hare,door=Room Full of Doors|||mushroom

House of the March Hare|You are standing in front of a large house with two chimneys shaped like ears and a rooftop thatched with fur, outside the front of the house, to your south, there was a table set out under a tree. By your feet you see a hat, why is there a hat on the ground? you wonder to yourself.|northeast=Path to March Hare's House,south=Tea Party Outside March Hare's House|||hat

Tea Party Outside March Hare's House|You go and sit at long table set for tea, a teacup full of tea lies in front of you with a small tart on a flower shaped plate. How unusual you think, there are 3 people...? Squished together sitting at the other end, sitting on mismatched chairs and drinking from different sized cups. The March Hare looks in your direction, while the Hatter completely ignores your arrival, wait... could that be the Rabbit you saw earlier?|north=House of the March Hare||March Hare,Hatter,Rabbit|teacup,tart

Dark Grassy Path|You find yourself standing at the start of a long narrow path shrouded in shadows, surrounded by tall grass that sways as though alive. The wind howls faintly in the distance. To your south a green lawn, with manicured hedges surrounding. Are those red polka dots? Through the door lies the room full of doors you came through earlier.|south=The Queen’s Croquet-Grounds,door=Room Full of Doors|||

The Queen’s Croquet-Grounds|You slowly step onto a manicured lawn with hedges shaped like playing cards. Flamingos and hedgehogs are scattered about, seemingly preparing for a game of croquet. You see a Queen of some sort, dressed in Red and White with hearts decorating her loud dress. To your north lies the dark grassy passage, to your west a maze with a small room tucked between the bushes.|north=Dark Grassy Path,west=Maze Side Room||Queen of Hearts|flamingo,hedgehog

Maze Side Room|You crouch down to crawl through an opening in the bushes and you find yourself in a small, dimly lit room. It smells of dust and mystery. A you see a strange bird sitting in the corner. Is that a bird? you think to yourself, hmmm, it might not be upon second look, that must be the Gryphon.|follow=Return to Above Ground,east=The Queen’s Croquet-Grounds||Gryphon|gold key

Return to Above Ground|You find yourself in a small room, there doesn’t seem to be much in here. After looking around you find a small tunnel leading upwards. The faint light of the surface glimmers at the end of the passage.|north=Riverbank,door=Room Full of Doors||
